concept,phrase,explicit,source_title,source_url,justification
Mars Polar Regions,polar ice,False,The Polar Deposits of Mars,https://ui.adsabs.harvard.edu/abs/2009AREPS..37..535B/abstract,"Used in the closing sentence to refer to ice in the Martian polar regions, a distinct short form not in the alias list."
Water Ice Clouds,water ice opacity,False,Thermal tides in the Martian middle atmosphere as seen by the Mars Climate Sounder,https://ui.adsabs.harvard.edu/abs/2009JGRE..114.3005L/abstract,"Refers to the opacity caused by water ice clouds, a measurable property directly associated with the water ice cloud concept."
SHARAD Radargrams,radar profiles,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"Refers to the radar sounding data products collected by MARSIS, analogous to radargrams showing subsurface structure."
SHARAD Radargrams,subsurface reflections,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"Describes the key data feature observed in radar sounding data, directly relating to the subsurface imaging product of radar sounders."
SHARAD Radargrams,MARSIS,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"MARSIS is a subsurface radar sounder instrument analogous to SHARAD, and the excerpt uses it in the same functional context as the concept described."
SHARAD Radargrams,low-frequency radar,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"Describes the type of instrument used for subsurface sounding, characterizing the radar sounder concept."
HiRISE High-Resolution Imaging,HiRISE camera,False,Mars Reconnaissance Orbiter's High Resolution Imaging Science Experiment (HiRISE),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S02M/abstract,Refers directly to the HiRISE instrument by its common shortened designation used throughout the text.
HiRISE High-Resolution Imaging,HiWeb,True,Mars Reconnaissance Orbiter's High Resolution Imaging Science Experiment (HiRISE),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S02M/abstract,"The text introduces HiWeb as the internet portal specifically enabling access to HiRISE targets and data products, making it a named alias tied to the HiRISE system."
CRISM Hyperspectral Imaging,OMEGA imaging spectrometer,False,Phyllosilicates on Mars and implications for early martian climate,https://ui.adsabs.harvard.edu/abs/2005Natur.438..623P/abstract,"OMEGA is another hyperspectral imaging spectrometer used for Mars surface mineralogy mapping, directly analogous to CRISM in function and purpose."
CRISM Hyperspectral Imaging,imaging spectrometer,False,Phyllosilicates on Mars and implications for early martian climate,https://ui.adsabs.harvard.edu/abs/2005Natur.438..623P/abstract,"This is the instrument class to which CRISM belongs, used here to describe spectral mapping of Mars surface composition."
CRISM Hyperspectral Imaging,remote sensing,False,Phyllosilicates on Mars and implications for early martian climate,https://ui.adsabs.harvard.edu/abs/2005Natur.438..623P/abstract,The detection method described (orbital spectral observation of surface mineralogy) is the core operational mode of CRISM-type instruments.
CRISM Hyperspectral Imaging,hyperspectral imager,False,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"CRISM is directly described as a 'hyperspectral imager' in the opening sentence, making this a functional descriptor for the instrument."
CRISM Hyperspectral Imaging,multispectral mapping mode,False,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"This refers to one of CRISM's named operational modes used for global surface coverage, distinct from the already-listed FRT/HRL targeted modes."
CRISM Hyperspectral Imaging,targeted mode,False,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,This is a named CRISM observation mode for high spatial and spectral resolution imaging of specific regions of interest.
CRISM Hyperspectral Imaging,atmospheric mode,False,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"This is a named CRISM observation mode used for measuring seasonal atmospheric variations, used as a real operational term."
CRISM Hyperspectral Imaging,Optical Sensor Unit,True,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"Introduced as a formal subassembly name (with acronym OSU) of the CRISM instrument, directly tied to the concept."
CRISM Hyperspectral Imaging,OSU,True,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"Acronym explicitly defined for the Optical Sensor Unit, a core subassembly of CRISM."
CRISM Hyperspectral Imaging,emission phase function,False,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"Used as a named data product type (EPF) acquired by CRISM for atmospheric correction, making it a real term associated with CRISM observations."
CRISM Hyperspectral Imaging,EPF,True,Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) on Mars Reconnaissance Orbiter (MRO),https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S03M/abstract,"Acronym introduced for emission phase function, a specific CRISM data product used for atmospheric study and surface spectra correction."
CRISM Hyperspectral Imaging,hyperspectral remote sensing,False,Multi- and hyperspectral geologic remote sensing: A review,https://ui.adsabs.harvard.edu/abs/2012IJAEO..14..112V/abstract,"Refers to high spectral resolution imaging used for surface mineralogic mapping, directly analogous to CRISM's hyperspectral imaging capability."
CRISM Hyperspectral Imaging,high spectral resolution hyperspectral remote sensing,False,Multi- and hyperspectral geologic remote sensing: A review,https://ui.adsabs.harvard.edu/abs/2012IJAEO..14..112V/abstract,"Describes the class of instruments enabling quantitative surface mineralogic mapping, which is the primary function of CRISM."
CRISM Hyperspectral Imaging,surface mineralogic mapping,False,Multi- and hyperspectral geologic remote sensing: A review,https://ui.adsabs.harvard.edu/abs/2012IJAEO..14..112V/abstract,Describes the core scientific output of CRISM-type hyperspectral instruments mapping surface mineralogy.
CRISM Hyperspectral Imaging,subpixel surface compositional information,False,Multi- and hyperspectral geologic remote sensing: A review,https://ui.adsabs.harvard.edu/abs/2012IJAEO..14..112V/abstract,Refers to the type of detailed compositional data derived from hyperspectral imaging spectrometers like CRISM.
MRO Aerobraking Phase,science phasing orbits,False,Global Distribution of Crustal Magnetization Discovered by the Mars Global Surveyor MAG/ER Experiment,https://ui.adsabs.harvard.edu/abs/1999Sci...284..790A/abstract,"The text pairs 'science phasing orbits' with 'aerobraking' as a distinct but closely related orbital phase during which low-altitude magnetic field data were collected, suggesting it refers to a transitional phase adjacent to or part of the aerobraking mission segment."
Curiosity Rover Science Phase,MSL Mission,False,Mars Science Laboratory Mission and Science Investigation,https://ui.adsabs.harvard.edu/abs/2012SSRv..170....5G/abstract,Refers to the Mars Science Laboratory mission encompassing Curiosity's science operations phase at Gale crater.
Curiosity Rover Science Phase,primary science goals,False,Mars Science Laboratory Mission and Science Investigation,https://ui.adsabs.harvard.edu/abs/2012SSRv..170....5G/abstract,Used to describe the overarching scientific objectives of the Curiosity rover's surface operations phase.
Curiosity Rover Science Phase,science payload,False,Mars Science Laboratory Mission and Science Investigation,https://ui.adsabs.harvard.edu/abs/2012SSRv..170....5G/abstract,Refers to the instrument suite driving Curiosity's science operations during the primary science phase.
